"original_feature","seurat_feature","changed"
"GPRIN1","GPRIN1",FALSE
"SNCB","SNCB",FALSE
"EIF4E1B","EIF4E1B",FALSE
"TSPAN17","TSPAN17",FALSE
"RP11-375B1.1","RP11-375B1.1",FALSE
"RP11-375B1.2","RP11-375B1.2",FALSE
"RP11-375B1.3","RP11-375B1.3",FALSE
"UNC5A","UNC5A",FALSE
"HK3","HK3",FALSE
"UIMC1","UIMC1",FALSE
"ZNF346","ZNF346",FALSE
"FGFR4","FGFR4",FALSE
"NSD1","NSD1",FALSE
"RAB24","RAB24",FALSE
"MXD3","MXD3",FALSE
"PRELID1","PRELID1",FALSE
"LMAN2","LMAN2",FALSE
"RGS14","RGS14",FALSE
"SLC34A1","SLC34A1",FALSE
"PFN3","PFN3",FALSE
"F12","F12",FALSE
"GRK6","GRK6",FALSE
"PRR7-AS1","PRR7-AS1",FALSE
"PRR7","PRR7",FALSE
"DBN1","DBN1",FALSE
"PDLIM7","PDLIM7",FALSE
"RP11-1334A24.6","RP11-1334A24.6",FALSE
"DOK3","DOK3",FALSE
"DDX41","DDX41",FALSE
"FAM193B","FAM193B",FALSE
"RP11-1277A3.3","RP11-1277A3.3",FALSE
"TMED9","TMED9",FALSE
"B4GALT7","B4GALT7",FALSE
"RP11-1277A3.1","RP11-1277A3.1",FALSE
"RP11-1101H11.1","RP11-1101H11.1",FALSE
"FAM153A","FAM153A",FALSE
"RP11-1026M7.2","RP11-1026M7.2",FALSE
"RP11-1026M7.3","RP11-1026M7.3",FALSE
"RP11-423H2.5","RP11-423H2.5",FALSE
"RP11-1252I4.2","RP11-1252I4.2",FALSE
"RP11-423H2.3","RP11-423H2.3",FALSE
"PROP1","PROP1",FALSE
"FAM153C","FAM153C",FALSE
"N4BP3","N4BP3",FALSE
"RMND5B","RMND5B",FALSE
"NHP2","NHP2",FALSE
"HNRNPAB","HNRNPAB",FALSE
"PHYKPL","PHYKPL",FALSE
"COL23A1","COL23A1",FALSE
"RP11-1259L22.1","RP11-1259L22.1",FALSE
"CLK4","CLK4",FALSE
"ZNF354A","ZNF354A",FALSE
"ZNF354B","ZNF354B",FALSE
"ZFP2","ZFP2",FALSE
"RP11-281O15.8","RP11-281O15.8",FALSE
"ZNF454","ZNF454",FALSE
"RP11-281O15.4","RP11-281O15.4",FALSE
"GRM6","GRM6",FALSE
"ZNF879","ZNF879",FALSE
"ZNF354C","ZNF354C",FALSE
"ADAMTS2","ADAMTS2",FALSE
"RP11-443C10.2","RP11-443C10.2",FALSE
"RP11-443C10.1","RP11-443C10.1",FALSE
"RP11-798K23.1","RP11-798K23.1",FALSE
"RP11-798K23.4","RP11-798K23.4",FALSE
"RUFY1","RUFY1",FALSE
"RP11-1379J22.2","RP11-1379J22.2",FALSE
"HNRNPH1","HNRNPH1",FALSE
"C5orf60","C5orf60",FALSE
"AC136604.1","AC136604.1",FALSE
"RP11-1379J22.5","RP11-1379J22.5",FALSE
"CBY3","CBY3",FALSE
"CANX","CANX",FALSE
"MAML1","MAML1",FALSE
"LTC4S","LTC4S",FALSE
"MGAT4B","MGAT4B",FALSE
"SQSTM1","SQSTM1",FALSE
"C5orf45","C5orf45",FALSE
"CTC-241N9.1","CTC-241N9.1",FALSE
"TBC1D9B","TBC1D9B",FALSE
"RNF130","RNF130",FALSE
"CTC-563A5.2","CTC-563A5.2",FALSE
"RASGEF1C","RASGEF1C",FALSE
"MAPK9","MAPK9",FALSE
"CTB-129O4.1","CTB-129O4.1",FALSE
"GFPT2","GFPT2",FALSE
"CTC-573N18.1","CTC-573N18.1",FALSE
"CNOT6","CNOT6",FALSE
"SCGB3A1","SCGB3A1",FALSE
"FLT4","FLT4",FALSE
"RP11-451H23.3","RP11-451H23.3",FALSE
"OR2Y1","OR2Y1",FALSE
"MGAT1","MGAT1",FALSE
"LINC00847","LINC00847",FALSE
"ZFP62","ZFP62",FALSE
"BTNL8","BTNL8",FALSE
"BTNL3","BTNL3",FALSE
"BTNL9","BTNL9",FALSE
"OR2V1","OR2V1",FALSE
"OR2V2","OR2V2",FALSE
"CTC-338M12.2","CTC-338M12.2",FALSE
"CTC-338M12.5","CTC-338M12.5",FALSE
"TRIM7","TRIM7",FALSE
"CTC-338M12.6","CTC-338M12.6",FALSE
"CTC-338M12.1","CTC-338M12.1",FALSE
"TRIM41","TRIM41",FALSE
"CTC-338M12.7","CTC-338M12.7",FALSE
"GNB2L1","GNB2L1",FALSE
"CTC-338M12.4","CTC-338M12.4",FALSE
"TRIM52","TRIM52",FALSE
"AC008443.1","AC008443.1",FALSE
"TRIM52-AS1","TRIM52-AS1",FALSE
"CTC-338M12.9","CTC-338M12.9",FALSE
"AC138035.2","AC138035.2",FALSE
"AC138035.1","AC138035.1",FALSE
"OR4F3","OR4F3",FALSE
"LINC00266-3","LINC00266-3",FALSE
"RP3-416J7.4","RP3-416J7.4",FALSE
"RP3-416J7.5","RP3-416J7.5",FALSE
"DUSP22","DUSP22",FALSE
"IRF4","IRF4",FALSE
"EXOC2","EXOC2",FALSE
"RP1-20B11.2","RP1-20B11.2",FALSE
"HUS1B","HUS1B",FALSE
"RP11-532F6.3","RP11-532F6.3",FALSE
"RP11-532F6.4","RP11-532F6.4",FALSE
"RP11-532F6.5","RP11-532F6.5",FALSE
"RP11-284J1.1","RP11-284J1.1",FALSE
"RP5-1077H22.2","RP5-1077H22.2",FALSE
"RP5-1077H22.1","RP5-1077H22.1",FALSE
"RP5-856G1.1","RP5-856G1.1",FALSE
"AL033381.1","AL033381.1",FALSE
"FOXQ1","FOXQ1",FALSE
"RP4-668J24.2","RP4-668J24.2",FALSE
"FOXF2","FOXF2",FALSE
"RP11-157J24.2","RP11-157J24.2",FALSE
"FOXC1","FOXC1",FALSE
"GMDS","GMDS",FALSE
"GMDS-AS1","GMDS-AS1",FALSE
"RP1-136B1.1","RP1-136B1.1",FALSE
"C6orf195","C6orf195",FALSE
"RP11-145H9.3","RP11-145H9.3",FALSE
"MYLK4","MYLK4",FALSE
"WRNIP1","WRNIP1",FALSE
"SERPINB1","SERPINB1",FALSE
"RP11-420G6.4","RP11-420G6.4",FALSE
"SERPINB9","SERPINB9",FALSE
"RP1-90J20.2","RP1-90J20.2",FALSE
"SERPINB6","SERPINB6",FALSE
"LINC01011","LINC01011",FALSE
"NQO2","NQO2",FALSE
"RP1-90J20.8","RP1-90J20.8",FALSE
"RP1-90J20.12","RP1-90J20.12",FALSE
"RP1-40E16.2","RP1-40E16.2",FALSE
"RIPK1","RIPK1",FALSE
"RP1-40E16.12","RP1-40E16.12",FALSE
"BPHL","BPHL",FALSE
"RP1-40E16.11","RP1-40E16.11",FALSE
"TUBB2A","TUBB2A",FALSE
"RP1-40E16.9","RP1-40E16.9",FALSE
"TUBB2B","TUBB2B",FALSE
"PSMG4","PSMG4",FALSE
"SLC22A23","SLC22A23",FALSE
"RP11-506K6.4","RP11-506K6.4",FALSE
"RP1-223B1.1","RP1-223B1.1",FALSE
"PXDC1","PXDC1",FALSE
"RP11-420L9.5","RP11-420L9.5",FALSE
"FAM50B","FAM50B",FALSE
"RP1-140K8.1","RP1-140K8.1",FALSE
"RP1-140K8.5","RP1-140K8.5",FALSE
"C6ORF50","C6ORF50",FALSE
"RP3-406P24.4","RP3-406P24.4",FALSE
"RP3-406P24.3","RP3-406P24.3",FALSE
"PRPF4B","PRPF4B",FALSE
"FAM217A","FAM217A",FALSE
"C6orf201","C6orf201",FALSE
"ECI2","ECI2",FALSE
"RP3-400B16.4","RP3-400B16.4",FALSE
"RP3-400B16.1","RP3-400B16.1",FALSE
"RP3-400B16.3","RP3-400B16.3",FALSE
"RP3-527G5.1","RP3-527G5.1",FALSE
"RP11-274H24.1","RP11-274H24.1",FALSE
"RP4-529N6.2","RP4-529N6.2",FALSE
"RP4-529N6.1","RP4-529N6.1",FALSE
"CDYL","CDYL",FALSE
"RP3-430A16.1","RP3-430A16.1",FALSE
"RPP40","RPP40",FALSE
"RP11-428J1.5","RP11-428J1.5",FALSE
"RP11-428J1.4","RP11-428J1.4",FALSE
"PPP1R3G","PPP1R3G",FALSE
"LYRM4","LYRM4",FALSE
"FARS2","FARS2",FALSE
"RP1-232P20.1","RP1-232P20.1",FALSE
"RP1-256G22.2","RP1-256G22.2",FALSE
"RP3-380B8.4","RP3-380B8.4",FALSE
"NRN1","NRN1",FALSE
"F13A1","F13A1",FALSE
"LY86-AS1","LY86-AS1",FALSE
"LY86","LY86",FALSE
"RP1-80N2.3","RP1-80N2.3",FALSE
"RP1-80N2.2","RP1-80N2.2",FALSE
"RP3-470L22.1","RP3-470L22.1",FALSE
"RP3-429O6.1","RP3-429O6.1",FALSE
"RP11-556O15.1","RP11-556O15.1",FALSE
"RREB1","RREB1",FALSE
"SSR1","SSR1",FALSE
"RP11-69L16.4","RP11-69L16.4",FALSE
"CAGE1","CAGE1",FALSE
"RIOK1","RIOK1",FALSE
"RP3-512B11.3","RP3-512B11.3",FALSE
"DSP","DSP",FALSE
"SNRNP48","SNRNP48",FALSE
"BMP6","BMP6",FALSE
"TXNDC5","TXNDC5",FALSE
"BLOC1S5-TXNDC5","BLOC1S5-TXNDC5",FALSE
"BLOC1S5","BLOC1S5",FALSE
"EEF1E1-BLOC1S5","EEF1E1-BLOC1S5",FALSE
"EEF1E1","EEF1E1",FALSE
"RP11-203H2.1","RP11-203H2.1",FALSE
"RP11-203H2.2","RP11-203H2.2",FALSE
"SLC35B3","SLC35B3",FALSE
"HULC","HULC",FALSE
"RP11-314C16.1","RP11-314C16.1",FALSE
"RP11-354I10.1","RP11-354I10.1",FALSE
"OFCC1","OFCC1",FALSE
"TFAP2A","TFAP2A",FALSE
"TFAP2A-AS1","TFAP2A-AS1",FALSE
"RP1-290I10.3","RP1-290I10.3",FALSE
"LINC00518","LINC00518",FALSE
"RP1-290I10.7","RP1-290I10.7",FALSE
"RP1-290I10.5","RP1-290I10.5",FALSE
"GCNT2","GCNT2",FALSE
"RP11-360O19.4","RP11-360O19.4",FALSE
"GCNT6","GCNT6",FALSE
"C6orf52","C6orf52",FALSE
"PAK1IP1","PAK1IP1",FALSE
"TMEM14C","TMEM14C",FALSE
"RP11-421M1.8","RP11-421M1.8",FALSE
"TMEM14B","TMEM14B",FALSE
"SYCP2L","SYCP2L",FALSE
"RP11-637O19.3","RP11-637O19.3",FALSE
"MAK","MAK",FALSE
"GCM2","GCM2",FALSE
"RP11-637O19.2","RP11-637O19.2",FALSE
"ELOVL2","ELOVL2",FALSE
"ELOVL2-AS1","ELOVL2-AS1",FALSE
"SMIM13","SMIM13",FALSE
"ERVFRD-1","ERVFRD-1",FALSE
"RP3-510L9.1","RP3-510L9.1",FALSE
"NEDD9","NEDD9",FALSE
"RP11-716O23.1","RP11-716O23.1",FALSE
"RP11-716O23.2","RP11-716O23.2",FALSE
"TMEM170B","TMEM170B",FALSE
"RP11-679B17.2","RP11-679B17.2",FALSE
"ADTRP","ADTRP",FALSE
"RP3-413H6.2","RP3-413H6.2",FALSE
"RP11-456H18.1","RP11-456H18.1",FALSE
"RP11-456H18.2","RP11-456H18.2",FALSE
"HIVEP1","HIVEP1",FALSE
"EDN1","EDN1",FALSE
"RP11-125M16.1","RP11-125M16.1",FALSE
"PHACTR1","PHACTR1",FALSE
"RP1-257A7.4","RP1-257A7.4",FALSE
"TBC1D7","TBC1D7",FALSE
"RP1-257A7.5","RP1-257A7.5",FALSE
"GFOD1","GFOD1",FALSE
"AL583828.1","AL583828.1",FALSE
"GFOD1-AS1","GFOD1-AS1",FALSE
"SIRT5","SIRT5",FALSE
"RP1-223E5.4","RP1-223E5.4",FALSE
"NOL7","NOL7",FALSE
"AL441883.1","AL441883.1",FALSE
"RANBP9","RANBP9",FALSE
"MCUR1","MCUR1",FALSE
"RP3-500L14.2","RP3-500L14.2",FALSE
"RNF182","RNF182",FALSE
"RP3-380E11.2","RP3-380E11.2",FALSE
"CD83","CD83",FALSE
"RP11-359N11.1","RP11-359N11.1",FALSE
"LINC01108","LINC01108",FALSE
"RP3-448I9.2","RP3-448I9.2",FALSE
"RP3-448I9.1","RP3-448I9.1",FALSE
"RP11-330A16.1","RP11-330A16.1",FALSE
"RP11-146I2.1","RP11-146I2.1",FALSE
"RP11-560J1.2","RP11-560J1.2",FALSE
"JARID2","JARID2",FALSE
"JARID2-AS1","JARID2-AS1",FALSE
"DTNBP1","DTNBP1",FALSE
"RP11-401E14.2","RP11-401E14.2",FALSE
"MYLIP","MYLIP",FALSE
"GMPR","GMPR",FALSE
"ATXN1","ATXN1",FALSE
"RP1-151F17.1","RP1-151F17.1",FALSE
"RP1-151F17.2","RP1-151F17.2",FALSE
"STMND1","STMND1",FALSE
"RBM24","RBM24",FALSE
"CAP2","CAP2",FALSE
"FAM8A1","FAM8A1",FALSE
"NUP153","NUP153",FALSE
"RP11-500C11.3","RP11-500C11.3",FALSE
"KIF13A","KIF13A",FALSE
"NHLRC1","NHLRC1",FALSE
"TPMT","TPMT",FALSE
"KDM1B","KDM1B",FALSE
"DEK","DEK",FALSE
"RNF144B","RNF144B",FALSE
"RP11-686D16.1","RP11-686D16.1",FALSE
"RP1-167F1.2","RP1-167F1.2",FALSE
"RP3-471C18.2","RP3-471C18.2",FALSE
"RP3-471C18.1","RP3-471C18.1",FALSE
"RP4-625H18.2","RP4-625H18.2",FALSE
"ID4","ID4",FALSE
"MBOAT1","MBOAT1",FALSE
"RP11-239H6.2","RP11-239H6.2",FALSE
"E2F3","E2F3",FALSE
"CDKAL1","CDKAL1",FALSE
"RP3-348I23.2","RP3-348I23.2",FALSE
"RP1-135L22.1","RP1-135L22.1",FALSE
"RP11-204E9.1","RP11-204E9.1",FALSE
"SOX4","SOX4",FALSE
"CASC15","CASC15",FALSE
"CASC14","CASC14",FALSE
"RP11-524C21.2","RP11-524C21.2",FALSE
"RP3-404K8.2","RP3-404K8.2",FALSE
"PRL","PRL",FALSE
"HDGFL1","HDGFL1",FALSE
"RP1-309H15.2","RP1-309H15.2",FALSE
"RP1-209A6.1","RP1-209A6.1",FALSE
"RP11-439H9.1","RP11-439H9.1",FALSE
"NRSN1","NRSN1",FALSE
"DCDC2","DCDC2",FALSE
"KAAG1","KAAG1",FALSE
"MRS2","MRS2",FALSE
"GPLD1","GPLD1",FALSE
"ALDH5A1","ALDH5A1",FALSE
"KIAA0319","KIAA0319",FALSE
"TDP2","TDP2",FALSE
"ACOT13","ACOT13",FALSE
"RP1-30M3.5","RP1-30M3.5",FALSE
"C6orf62","C6orf62",FALSE
"RP1-30M3.6","RP1-30M3.6",FALSE
"RP3-369A17.4","RP3-369A17.4",FALSE
"GMNN","GMNN",FALSE
"C6orf229","C6orf229",FALSE
"FAM65B","FAM65B",FALSE
"RP11-367G6.3","RP11-367G6.3",FALSE
"RP3-425P12.5","RP3-425P12.5",FALSE
"RP3-425P12.1","RP3-425P12.1",FALSE
"RP3-425P12.2","RP3-425P12.2",FALSE
"RP3-522P13.3","RP3-522P13.3",FALSE
"LRRC16A","LRRC16A",FALSE
"SCGN","SCGN",FALSE
"HIST1H2AA","HIST1H2AA",FALSE
"HIST1H2BA","HIST1H2BA",FALSE
"SLC17A4","SLC17A4",FALSE
"SLC17A1","SLC17A1",FALSE
"SLC17A3","SLC17A3",FALSE
"SLC17A2","SLC17A2",FALSE
"TRIM38","TRIM38",FALSE
"U91328.21","U91328.21",FALSE
"U91328.20","U91328.20",FALSE
"U91328.19","U91328.19",FALSE
"U91328.22","U91328.22",FALSE
"HIST1H1A","HIST1H1A",FALSE
"HIST1H3A","HIST1H3A",FALSE
"HIST1H4A","HIST1H4A",FALSE
"HIST1H4B","HIST1H4B",FALSE
"HIST1H3B","HIST1H3B",FALSE
"HIST1H2AB","HIST1H2AB",FALSE
"HIST1H2BB","HIST1H2BB",FALSE
"HIST1H3C","HIST1H3C",FALSE
"HIST1H1C","HIST1H1C",FALSE
"HFE","HFE",FALSE
"HIST1H4C","HIST1H4C",FALSE
"HIST1H1T","HIST1H1T",FALSE
"HIST1H2BC","HIST1H2BC",FALSE
"HIST1H2AC","HIST1H2AC",FALSE
"HIST1H1E","HIST1H1E",FALSE
"HIST1H2BD","HIST1H2BD",FALSE
"HIST1H2BE","HIST1H2BE",FALSE
"HIST1H4D","HIST1H4D",FALSE
"HIST1H3D","HIST1H3D",FALSE
"HIST1H2AD","HIST1H2AD",FALSE
"HIST1H2BF","HIST1H2BF",FALSE
"HIST1H4E","HIST1H4E",FALSE
"HIST1H2BG","HIST1H2BG",FALSE
"HIST1H2AE","HIST1H2AE",FALSE
"HIST1H3E","HIST1H3E",FALSE
"HIST1H1D","HIST1H1D",FALSE
"HIST1H4F","HIST1H4F",FALSE
"HIST1H4G","HIST1H4G",FALSE
"HIST1H3F","HIST1H3F",FALSE
"HIST1H2BH","HIST1H2BH",FALSE
"HIST1H3G","HIST1H3G",FALSE
"HIST1H2BI","HIST1H2BI",FALSE
"HIST1H4H","HIST1H4H",FALSE
"BTN3A2","BTN3A2",FALSE
"BTN2A2","BTN2A2",FALSE
"BTN3A1","BTN3A1",FALSE
"BTN3A3","BTN3A3",FALSE
"BTN2A1","BTN2A1",FALSE
"BTN1A1","BTN1A1",FALSE
"HCG11","HCG11",FALSE
"CTA-14H9.5","CTA-14H9.5",FALSE
"HMGN4","HMGN4",FALSE
"ABT1","ABT1",FALSE
"ZNF322","ZNF322",FALSE
"RP11-457M11.5","RP11-457M11.5",FALSE
"LINC00240","LINC00240",FALSE
"RP11-239L20.6","RP11-239L20.6",FALSE
"RP1-86C11.7","RP1-86C11.7",FALSE
"HIST1H2BJ","HIST1H2BJ",FALSE
"HIST1H2AG","HIST1H2AG",FALSE
"HIST1H2BK","HIST1H2BK",FALSE
"HIST1H4I","HIST1H4I",FALSE
"HIST1H2AH","HIST1H2AH",FALSE
"PRSS16","PRSS16",FALSE
"POM121L2","POM121L2",FALSE
"ZNF391","ZNF391",FALSE
"RP1-153G14.4","RP1-153G14.4",FALSE
"ZNF184","ZNF184",FALSE
"HIST1H2BL","HIST1H2BL",FALSE
"HIST1H2AI","HIST1H2AI",FALSE
"HIST1H3H","HIST1H3H",FALSE
"HIST1H2AJ","HIST1H2AJ",FALSE
"HIST1H2BM","HIST1H2BM",FALSE
"HIST1H4J","HIST1H4J",FALSE
"HIST1H4K","HIST1H4K",FALSE
"HIST1H2AK","HIST1H2AK",FALSE
"HIST1H2BN","HIST1H2BN",FALSE
"HIST1H2AL","HIST1H2AL",FALSE
"HIST1H1B","HIST1H1B",FALSE
"HIST1H3I","HIST1H3I",FALSE
"HIST1H4L","HIST1H4L",FALSE
"HIST1H3J","HIST1H3J",FALSE
"HIST1H2AM","HIST1H2AM",FALSE
"HIST1H2BO","HIST1H2BO",FALSE
"OR2B2","OR2B2",FALSE
"OR2B6","OR2B6",FALSE
"RP1-313I6.12","RP1-313I6.12",FALSE
"ZNF165","ZNF165",FALSE
"ZSCAN16-AS1","ZSCAN16-AS1",FALSE
"ZSCAN16","ZSCAN16",FALSE
"RP1-265C24.8","RP1-265C24.8",FALSE
"ZKSCAN8","ZKSCAN8",FALSE
"ZSCAN9","ZSCAN9",FALSE
"ZKSCAN4","ZKSCAN4",FALSE
"NKAPL","NKAPL",FALSE
"PGBD1","PGBD1",FALSE
"ZSCAN31","ZSCAN31",FALSE
"ZKSCAN3","ZKSCAN3",FALSE
"ZSCAN12","ZSCAN12",FALSE
"ZSCAN23","ZSCAN23",FALSE
"GPX6","GPX6",FALSE
"GPX5","GPX5",FALSE
"SCAND3","SCAND3",FALSE
"LINC00533","LINC00533",FALSE
"XXbac-BPG308K3.5","XXbac-BPG308K3.5",FALSE
"XXbac-BPG308K3.6","XXbac-BPG308K3.6",FALSE
"HCG14","HCG14",FALSE
"TRIM27","TRIM27",FALSE
"C6orf100","C6orf100",FALSE
"HCG15","HCG15",FALSE
"HCG16","HCG16",FALSE
"ZNF311","ZNF311",FALSE
"OR2W1","OR2W1",FALSE
"OR2B3","OR2B3",FALSE
"OR2J1","OR2J1",FALSE
"OR2J3","OR2J3",FALSE
"XXbac-BCX196D17.5","XXbac-BCX196D17.5",FALSE
"OR2J2","OR2J2",FALSE
"XXbac-BPG308J9.3","XXbac-BPG308J9.3",FALSE
"OR14J1","OR14J1",FALSE
"OR5V1","OR5V1",FALSE
"OR12D3","OR12D3",FALSE
"OR12D2","OR12D2",FALSE
"OR11A1","OR11A1",FALSE
"OR10C1","OR10C1",FALSE
"OR2H1","OR2H1",FALSE
"MAS1L","MAS1L",FALSE
"XXbac-BPG13B8.10","XXbac-BPG13B8.10",FALSE
"LINC01015","LINC01015",FALSE
"UBD","UBD",FALSE
"GABBR1","GABBR1",FALSE
"OR2H2","OR2H2",FALSE
"MOG","MOG",FALSE
"ZFP57","ZFP57",FALSE
"HLA-F","HLA-F",FALSE
"XXbac-BPG170G13.32","XXbac-BPG170G13.32",FALSE
"HLA-G","HLA-G",FALSE
"HLA-A","HLA-A",FALSE
"HCG9","HCG9",FALSE
"ZNRD1-AS1","ZNRD1-AS1",FALSE
"ZNRD1","ZNRD1",FALSE
"PPP1R11","PPP1R11",FALSE
"RNF39","RNF39",FALSE
"TRIM31","TRIM31",FALSE
"TRIM31-AS1","TRIM31-AS1",FALSE
"TRIM40","TRIM40",FALSE
"TRIM10","TRIM10",FALSE
"TRIM15","TRIM15",FALSE
"TRIM26","TRIM26",FALSE
"HCG17","HCG17",FALSE
"HCG18","HCG18",FALSE
"TRIM39","TRIM39",FALSE
"TRIM39-RPP21","TRIM39-RPP21",FALSE
"RPP21","RPP21",FALSE
"HLA-E","HLA-E",FALSE
"XXbac-BPG249D20.9","XXbac-BPG249D20.9",FALSE
"GNL1","GNL1",FALSE
"PRR3","PRR3",FALSE
"ABCF1","ABCF1",FALSE
"PPP1R10","PPP1R10",FALSE
"MRPS18B","MRPS18B",FALSE
"ATAT1","ATAT1",FALSE
"C6orf136","C6orf136",FALSE
"DHX16","DHX16",FALSE
"PPP1R18","PPP1R18",FALSE
"NRM","NRM",FALSE
"MDC1","MDC1",FALSE
"MDC1-AS1","MDC1-AS1",FALSE
"TUBB","TUBB",FALSE
"XXbac-BPG252P9.9","XXbac-BPG252P9.9",FALSE
"FLOT1","FLOT1",FALSE
"XXbac-BPG252P9.10","XXbac-BPG252P9.10",FALSE
"IER3","IER3",FALSE
"HCG20","HCG20",FALSE
"XXbac-BPG27H4.8","XXbac-BPG27H4.8",FALSE
"DDR1-AS1","DDR1-AS1",FALSE
"DDR1","DDR1",FALSE
"GTF2H4","GTF2H4",FALSE
"VARS2","VARS2",FALSE
"SFTA2","SFTA2",FALSE
"DPCR1","DPCR1",FALSE
"HCG21","HCG21",FALSE
"MUC21","MUC21",FALSE
"MUC22","MUC22",FALSE
"HCG22","HCG22",FALSE
"C6orf15","C6orf15",FALSE
"PSORS1C1","PSORS1C1",FALSE
"CDSN","CDSN",FALSE
"PSORS1C2","PSORS1C2",FALSE
"CCHCR1","CCHCR1",FALSE
"TCF19","TCF19",FALSE
"POU5F1","POU5F1",FALSE
"XXbac-BPG299F13.17","XXbac-BPG299F13.17",FALSE
"HCG27","HCG27",FALSE
"XXbac-BPG299F13.14","XXbac-BPG299F13.14",FALSE
"HLA-C","HLA-C",FALSE
"XXbac-BPG248L24.13","XXbac-BPG248L24.13",FALSE
"HLA-B","HLA-B",FALSE
"XXbac-BPG181B23.7","XXbac-BPG181B23.7",FALSE
"MICA","MICA",FALSE
"LINC01149","LINC01149",FALSE
"MICB","MICB",FALSE
"MCCD1","MCCD1",FALSE
"ATP6V1G2-DDX39B","ATP6V1G2-DDX39B",FALSE
"DDX39B","DDX39B",FALSE
"DDX39B-AS1","DDX39B-AS1",FALSE
"ATP6V1G2","ATP6V1G2",FALSE
"NFKBIL1","NFKBIL1",FALSE
"LTA","LTA",FALSE
"TNF","TNF",FALSE
"LTB","LTB",FALSE
"LST1","LST1",FALSE
"NCR3","NCR3",FALSE
"AIF1","AIF1",FALSE
"PRRC2A","PRRC2A",FALSE
"BAG6","BAG6",FALSE
"APOM","APOM",FALSE
"C6orf47","C6orf47",FALSE
"C6orf47-AS1","C6orf47-AS1",FALSE
"GPANK1","GPANK1",FALSE
"CSNK2B","CSNK2B",FALSE
"CSNK2B-LY6G5B-1181","CSNK2B-LY6G5B-1181",FALSE
"LY6G5B","LY6G5B",FALSE
"LY6G5C","LY6G5C",FALSE
"ABHD16A","ABHD16A",FALSE
"XXbac-BPG32J3.20","XXbac-BPG32J3.20",FALSE
"LY6G6F","LY6G6F",FALSE
"MEGT1","MEGT1",FALSE
"LY6G6E","LY6G6E",FALSE
"LY6G6D","LY6G6D",FALSE
"C6orf25","C6orf25",FALSE
"LY6G6C","LY6G6C",FALSE
"DDAH2","DDAH2",FALSE
"CLIC1","CLIC1",FALSE
"MSH5","MSH5",FALSE
"MSH5-SAPCD1","MSH5-SAPCD1",FALSE
"SAPCD1","SAPCD1",FALSE
"SAPCD1-AS1","SAPCD1-AS1",FALSE
"VWA7","VWA7",FALSE
"VARS","VARS",FALSE
"LSM2","LSM2",FALSE
"HSPA1L","HSPA1L",FALSE
"HSPA1A","HSPA1A",FALSE
"HSPA1B","HSPA1B",FALSE
"C6orf48","C6orf48",FALSE
"NEU1","NEU1",FALSE
"SLC44A4","SLC44A4",FALSE
"EHMT2","EHMT2",FALSE
"EHMT2-AS1","EHMT2-AS1",FALSE
"C2","C2",FALSE
"ZBTB12","ZBTB12",FALSE
"CFB","CFB",FALSE
"CFB.1","CFB.1",FALSE
"NELFE","NELFE",FALSE
"SKIV2L","SKIV2L",FALSE
"DXO","DXO",FALSE
"STK19","STK19",FALSE
"C4A","C4A",FALSE
"C4A-AS1","C4A-AS1",FALSE
"AL645922.1","AL645922.1",FALSE
"C4B","C4B",FALSE
"C4B-AS1","C4B-AS1",FALSE
"CYP21A2","CYP21A2",FALSE
"TNXB","TNXB",FALSE
"ATF6B","ATF6B",FALSE
"FKBPL","FKBPL",FALSE
"PRRT1","PRRT1",FALSE
"PPT2","PPT2",FALSE
"PPT2-EGFL8","PPT2-EGFL8",FALSE
"EGFL8","EGFL8",FALSE
"AGPAT1","AGPAT1",FALSE
"RNF5","RNF5",FALSE
"AGER","AGER",FALSE
"PBX2","PBX2",FALSE
"GPSM3","GPSM3",FALSE
"NOTCH4","NOTCH4",FALSE
"XXbac-BPG154L12.4","XXbac-BPG154L12.4",FALSE
"C6orf10","C6orf10",FALSE
"HCG23","HCG23",FALSE
"BTNL2","BTNL2",FALSE
"HLA-DRA","HLA-DRA",FALSE
"HLA-DRB5","HLA-DRB5",FALSE
"HLA-DRB1","HLA-DRB1",FALSE
"HLA-DQA1","HLA-DQA1",FALSE
"HLA-DQB1","HLA-DQB1",FALSE
"HLA-DQB1-AS1","HLA-DQB1-AS1",FALSE
"XXbac-BPG254F23.7","XXbac-BPG254F23.7",FALSE
"HLA-DQA2","HLA-DQA2",FALSE
"HLA-DQB2","HLA-DQB2",FALSE
"HLA-DOB","HLA-DOB",FALSE
"TAP2","TAP2",FALSE
"TAP2.1","TAP2.1",FALSE
"PSMB8","PSMB8",FALSE
"TAPSAR1","TAPSAR1",FALSE
"PSMB9","PSMB9",FALSE
"TAP1","TAP1",FALSE
"HLA-DMB","HLA-DMB",FALSE
"XXbac-BPG181M17.5","XXbac-BPG181M17.5",FALSE
"HLA-DMA","HLA-DMA",FALSE
"BRD2","BRD2",FALSE
"XXbac-BPG181M17.6","XXbac-BPG181M17.6",FALSE
"HLA-DOA","HLA-DOA",FALSE
"HLA-DPA1","HLA-DPA1",FALSE
"HLA-DPB1","HLA-DPB1",FALSE
"HCG24","HCG24",FALSE
"COL11A2","COL11A2",FALSE
"RXRB","RXRB",FALSE
"SLC39A7","SLC39A7",FALSE
